name,split,index,ggo_channels,detection_mode,lung_threshold,analysis_permissive_threshold,analysis_upper_hu,analysis_dilation_iterations,analysis_closing_iterations,lower_hu,upper_hu,smoothing_sigma_mm,adaptive_percentile,min_lesion_volume_mm3,min_component_voxels,dice,iou,sensitivity,precision,case_hit,slice_hit_rate,left_hit,right_hit,upper_hit,mid_hit,lower_hit,centroid_distance_mm,pred_to_gt_volume_ratio,gt_voxels,pred_voxels,lung_voxels,analysis_voxels,gt_inside_lung_ratio,gt_inside_analysis_ratio
train_67_a_2.nii.gz,train,0,[0],ggo,-400,-250,100,2,2,-750,-250,1.0,88,200.0,522,0.23234297305989166,0.1314412069303328,0.20301759543461026,0.27157066851707634,1,0.9354838709677419,0,1,1,1,,28.114594346782727,0.7475681985214647,23131,17292,5705682,6515258,0.4881328087845367,0.9560762612939535
train_20_a_2.nii.gz,train,1,[0],ggo,-400,-250,100,2,2,-750,-250,1.0,88,200.0,426,0.0,0.0,0.0,0.0,0,0.0,,,,,,,0.0,293909,0,999313,2000793,0.0,0.0
train_33_a_1.nii.gz,train,2,[0],ggo,-400,-250,100,2,2,-750,-250,1.0,88,200.0,389,0.03209075425603243,0.01630702956726062,0.01637414022843334,0.7991445961502445,1,0.6428571428571429,1,1,1,1,1,73.43555605312213,0.020489583871685344,890062,18237,4878440,6073370,0.6424777150355746,0.9809473946758654
train_244_b_1.nii.gz,train,3,[0],ggo,-400,-250,100,2,2,-750,-250,1.0,88,200.0,478,0.0,0.0,0.0,0.0,0,0.0,,0,,0,0,119.84898270712206,1.620211360634082,1514,2453,5362687,6306532,0.9999999999933951,0.9999999999933951
train_298_a_2.nii.gz,train,4,"[0, 1]",ggo,-400,-250,100,2,2,-750,-250,1.0,88,200.0,584,0.03407431445724485,0.017332452954770552,0.041242319670049876,0.02902900926163056,1,0.8333333333333334,,1,,1,1,111.51185069121352,1.4207277726341778,35643,50639,17558436,21839657,0.5637292034900082,0.9551104003588489
